title|author|date|form|genre|published|pages|country|series|gender|favorite|blurb
Days at the Morisaki Bookshop|Satoshi Yagisawa|7/8/2025|Fiction|Lit|2010|147|Japan|Days at the Morisaki Bookshop|Male||A young woman begins working at her uncle's second-hand bookstore after a breakup.
Cicada|Phoebe Giannisi|7/10/2025|Poetry|Lit|2022|128|Greece||Female||A collection of poems on connections between life and language and nature.
The Prince|Liam Cobb|7/10/2025|Comics|Horror|2018|120|England||Male||A woman picks up a frog outside her apartment and her husband is not happy.
Second Hand Love|Murasaki Yamada|7/10/2025|Comics|Lit|1987|228|Japan||Female||Two stories about the 'other women.'
Berserk Deluxe Ed. Vol. 7|Kentaro Miura|7/13/2025|Comics|Fantasy|2001|704|Japan|Berserk|Male||A religious tower falls to the forces of hell, while heroes fight to survive.
Berserk Deluxe Ed. Vol. 8|Kentaro Miura|7/14/2025|Comics|Fantasy|2002|632|Japan|Berserk|Male||The black swordsman's journey continues to get more fantastical as his party grows.
The Bee Sting|Paul Murray|7/17/2025|Fiction|Lit|2023|645|Ireland||Male||Where did it all go wrong for a family in crisis.
Steel Ball Run, Vol 1.|Hirohiko Araki|7/19/2025|Comics|Fantasy|2004|394|Japan|JoJo's Bizarre Adventure|Male||The Steel Ball Run, a horse race across America, begins!
The Visit|Friedrich Dürrenmatt|7/22/2025|Drama|Lit|1956|112|Switzerland||Male||The richest woman in the world visits her very poor home village.
Berserk Deluxe Ed. Vol. 9|Kentaro Miura|7/25/2025|Comics|Fantasy|2004|656|Japan|Berserk|Male||Guts deals with monsters in a dark forest and dons a deadly armor.
The Fox Wife|Yangsze Choo|7/28/2025|Fiction|Fantasy|2024|390|Malaysia||Female||A fox and a man who can detect lies work in parallel to uncover a mystery in Manchuria in 1908.
A Man Lay Dead|Ngaio Marsh|7/29/2025|Fiction|Mystery|1934|192|New Zealand|Roderick Alleyn|Female||A 'murder game' at an English country house turns deadly.
Enter a Murderer|Ngaio Marsh|7/31/2025|Fiction|Mystery|1935|245|New Zealand|Roderick Alleyn|Female||A gun on stage is filled with real bullets.
EKHŌ|Roslyn Orlando|8/3/2025|Poetry|Lit|2025|96|Australia||Female||A poem in three parts reflecting on the echo as a social and historical and technological thing.
The Nursing Home Murder|Ngaio Marsh & Henry Jellett|8/4/2025|Fiction|Mystery|1935|192|New Zealand|Roderick Alleyn|Female||A prominent politician is killed on the operating table.
Berserk Deluxe Ed. Vol. 10|Kentaro Miura|8/4/2025|Comics|Fantasy|2006|648|Japan|Berserk|Male||The party finally makes it to the ocean, only to uncover new monsters and shadows from the past.
Death in Ecstasy|Ngaio Marsh|8/7/2025|Fiction|Mystery|1936|272|New Zealand|Roderick Alleyn|Female||During a cult ritual one of the faithful drops dead.
Steel Ball Run, Vol 2.|Hirohiko Araki|8/8/2025|Comics|Fantasy|2004|394|Japan|JoJo's Bizarre Adventure|Male||Some of the contestants in the Steel Ball Run seem to have super-natural abilities...
Berserk Deluxe Ed. Vol. 11|Kentaro Miura|8/12/2025|Comics|Fantasy|2008|672|Japan|Berserk|Male||The Band of the Hawk, in a new form, shows itself to the world.
Slouching Towards Bethlehem|Joan Didion|8/12/2025|Non-Fiction|Lit|1968|238|USA||Female||Short portraits of America, California, in the 60s.
Trout Fishing in America|Richard Brautigan|8/27/2025|Fiction|Lit|1967|112|USA||Male||A scattering romp about Trout Fishing in America, focused around San Francisco and the PNW.
Vintage Murder|Ngaio Marsh|9/2/2025|Fiction|Mystery|1937|256|New Zealand|Roderick Alleyn|Female||Detective Alleyn is on vacation in New Zealand when he crosses paths with a theater troop, a tiki, and murder.
Berserk Deluxe Ed. Vol. 12|Kentaro Miura|9/3/2025|Comics|Fantasy|2011|664|Japan|Berserk|Male||A new world awakens, one of fantasy, and the party gets wrapped up with pirates and sea monsters.
Pietr the Latvian|Georges Simenon|9/19/2025|Fiction|Mystery|1930|176|Belgium|Inspector Maigret|Male||Two men matching the description of an international criminal show up on a train: one alive, one dead.
Pissing Women|Sophy Rickett et al.|9/20/2025|Non-Fiction|Philosophy|2025|141|England||Female||Essays reflecting on Sophy Rickett's iconic subversive feminist 1995 photo series.
Steel Ball Run, Vol 3.|Hirohiko Araki|9/29/2025|Comics|Fantasy|2004|400|Japan|JoJo's Bizarre Adventure|Male||The true goal of the race is revealed!
